puissance tot,puissance tot moy,ram used,gpu temp,cpu temp,board temp,perf
9462,9462,13.6,37.375,42.656,31.0,65.590
8964,9213,14.5,37.218,42.406,31.0,0
7970,8591,15.1,37.375,42.156,31.0,0
8468,8528,15.7,37.125,42.062,31.0,0
8567,8546,16.2,37.156,42.375,31.0,0
9561,9052,16.3,37.312,42.531,31.0,0
9561,9306,16.5,37.218,42.437,31.0,0
9561,9432,16.7,37.468,42.375,31.0,0
9064,9247,17.3,37.468,42.281,31.0,0
8468,8856,17.7,37.281,42.312,31.0,0
7970,8413,18.1,37.187,42.0,31.0,0
8468,8439,18.5,37.562,42.062,31.0,0
11947,10192,19.1,37.812,42.781,31.0,0
21598,15894,19.2,38.875,43.406,31.0,0
22892,19391,19.2,39.312,43.718,31.0,0
23886,21637,19.2,39.0,43.718,31.0,0
24283,22959,19.2,39.406,44.125,31.0,0
24383,23670,19.2,39.75,43.656,32.0,0
24284,23976,19.2,39.781,44.312,32.0,0
25387,24681,19.2,40.125,44.218,32.0,0
25488,25083,19.2,40.125,44.187,32.0,0
26085,25583,19.2,40.125,44.593,32.0,0
24990,25286,19.2,40.718,44.5,32.0,0
25387,25335,19.2,40.906,44.5,32.0,0
24782,25058,19.2,40.562,44.781,32.0,0
23895,24476,19.2,40.375,44.593,32.0,0
22693,23584,19.2,39.687,44.937,32.0,0
23686,23633,19.2,40.25,44.906,32.0,0
23787,23709,19.2,40.781,44.843,32.0,0
24283,23996,19.2,40.968,44.875,32.0,0
25487,24740,19.2,41.406,44.656,32.0,0
23887,24313,19.2,40.218,45.062,32.0,0
24383,24347,19.2,41.125,44.718,32.0,0
24392,24368,19.2,41.031,44.875,32.0,0
24592,24479,19.2,41.406,45.25,32.0,0
25089,24783,19.2,41.75,45.0,32.0,0
24592,24686,19.2,41.281,45.031,32.0,0
23686,24185,19.2,40.343,45.75,33.0,0
24790,24487,19.2,41.187,45.312,33.0,0
23688,24087,19.2,40.781,45.375,33.0,0
23682,23884,19.2,42.062,45.281,33.0,0
24086,23984,19.2,40.687,45.5,33.0,0
23787,23884,19.2,41.5,45.562,33.0,0
24284,24083,19.2,41.281,45.75,33.0,0
23887,23984,19.2,41.343,45.531,33.0,0
24284,24133,19.2,41.437,46.0,33.0,0
24990,24561,19.2,41.656,45.437,33.0,0
24990,24775,19.2,41.25,45.75,33.0,0
24990,24882,19.2,42.437,45.593,33.0,0
