puissance tot,puissance tot moy,ram used,gpu temp,cpu temp,board temp,perf
10061,10061,21.0,44.343,49.5,39.0,90.464
9757,9909,21.3,44.156,49.25,39.0,0
9560,9734,21.4,44.093,49.312,39.0,0
10261,9997,22.8,44.281,49.187,39.0,0
9759,9877,23.4,44.031,49.343,39.0,0
9560,9717,23.4,44.156,49.343,39.0,0
9560,9637,23.6,44.312,49.187,39.0,0
10459,10047,23.7,44.062,49.031,39.0,0
11750,10898,24.8,44.406,49.25,39.0,0
16439,13668,24.9,44.781,49.687,39.0,0
16736,15200,24.9,44.906,49.812,39.0,0
17529,16363,24.9,45.343,49.312,39.0,0
17334,16847,24.9,45.062,50.093,39.0,0
16937,16891,24.9,44.937,49.687,39.0,0
16936,16912,24.9,45.156,49.718,39.0,0
16737,16823,24.9,45.125,49.781,39.0,0
17434,17128,24.9,45.531,49.718,39.0,0
17434,17281,24.9,45.281,49.75,39.0,0
16936,17107,24.9,44.906,50.0,39.0,0
17529,17317,24.9,45.812,49.656,39.0,0
18030,17672,24.9,45.25,49.781,39.0,0
17434,17553,24.9,45.343,49.718,39.0,0
16737,17144,24.9,45.625,49.625,39.0,0
16936,17040,24.9,45.718,50.093,39.0,0
16737,16888,24.9,45.375,50.125,39.0,0
16733,16810,24.9,46.156,49.687,39.0,0
16139,16473,24.9,45.312,49.875,39.0,0
16131,16301,24.9,44.937,50.031,39.0,0
16737,16518,24.9,45.343,49.812,39.0,0
16737,16626,24.9,45.468,50.093,39.0,0
16231,16427,24.9,45.156,49.937,39.0,0
16733,16579,24.9,45.843,49.625,39.0,0
16339,16458,25.0,45.25,50.125,39.0,0
16837,16646,24.9,45.437,49.968,39.0,0
17334,16989,24.9,45.25,50.125,39.0,0
17434,17210,24.9,45.625,49.718,39.0,0
16733,16971,24.9,45.593,49.937,39.0,0
16833,16901,24.9,45.156,50.156,39.0,0
17430,17164,24.9,45.25,49.843,39.0,0
17633,17398,24.9,45.312,49.906,39.0,0
17434,17415,24.9,45.187,49.937,39.0,0
16936,17175,24.9,45.218,50.0,39.0,0
16339,16755,24.9,45.218,50.0,39.0,0
17033,16892,24.9,45.75,49.812,39.0,0
16737,16814,24.9,45.531,49.718,39.0,0
16139,16475,24.9,45.625,49.906,39.0,0
16131,16302,24.9,44.875,50.312,39.0,0
16131,16216,24.9,45.218,49.812,39.0,0
16733,16473,25.0,45.75,49.687,39.0,0
16637,16554,25.0,44.937,50.062,39.0,0
16737,16644,25.0,45.25,50.187,39.0,0
17331,16986,25.0,45.812,49.843,39.0,0
17331,17158,25.0,45.312,49.781,39.0,0
16737,16947,25.0,45.375,50.281,39.0,0
17231,17088,25.0,45.562,49.812,39.0,0
16933,17010,25.0,45.312,49.875,39.0,0
17033,17020,25.0,45.312,49.875,39.0,0
17430,17223,25.0,45.562,49.718,39.0,0
17430,17325,25.0,45.75,49.75,39.0,0
16936,17130,25.0,45.375,50.062,39.0,0
17533,17331,25.0,45.437,49.75,39.0,0
17430,17380,25.0,45.781,50.0,39.0,0
16936,17157,25.0,45.406,50.218,39.0,0
16933,17044,25.0,45.75,49.687,39.0,0
17331,17187,25.0,45.687,50.156,39.0,0
16733,16959,25.0,45.156,50.125,39.0,0
16737,16847,25.0,45.25,49.968,39.0,0
16239,16542,25.0,45.25,49.843,39.0,0
16239,16389,25.0,45.156,49.906,39.0,0
16737,16562,25.0,45.5,50.312,39.0,0
16737,16648,25.0,45.343,50.031,39.0,0
16139,16393,25.0,45.375,49.937,39.0,0
16339,16365,25.0,45.156,50.062,39.0,0
16936,16649,25.0,45.375,49.812,39.0,0
16239,16443,25.0,45.0,50.0,39.0,0
16936,16689,25.0,45.375,49.906,39.0,0
16637,16661,25.0,45.062,50.093,39.0,0
16836,16747,25.0,45.156,50.0,39.0,0
16737,16741,25.0,45.375,50.093,39.0,0
17334,17036,25.0,45.406,49.968,39.0,0
16936,16985,25.0,46.0,49.781,39.0,0
16733,16858,25.0,45.812,50.0,39.0,0
17331,17094,25.0,46.187,49.625,39.0,0
16836,16964,25.0,45.375,50.25,39.0,0
16439,16701,25.0,45.187,50.031,39.0,0
16936,16817,25.0,45.5,49.968,39.0,0
17036,16926,25.0,45.375,49.906,39.0,0
17633,17279,25.0,45.375,49.75,39.0,0
16736,17007,25.0,45.843,50.125,39.0,0
16837,16921,25.0,45.343,49.968,39.0,0
17334,17127,25.0,45.593,49.906,39.0,0
16936,17030,25.0,45.843,50.312,39.0,0
16936,16981,25.0,45.968,49.812,39.0,0
16737,16858,24.9,45.375,50.0,39.0,0
16737,16797,24.9,45.25,50.0,39.0,0
16937,16866,24.9,45.156,49.812,39.0,0
16737,16800,24.9,45.343,49.906,39.0,0
17234,17016,24.9,45.718,49.875,39.0,0
16737,16875,24.9,45.375,49.937,39.0,0
17036,16955,24.9,45.687,49.781,39.0,0
16837,16895,25.0,45.468,49.875,39.0,0
16737,16815,25.0,45.5,50.062,39.0,0
16737,16775,25.0,45.375,50.062,39.0,0
16737,16755,24.9,45.656,50.031,39.0,0
